Business_ID,Monthly_Bank_Inflow,Monthly_Bank_Outflow,GST_Compliance_Score,Ecommerce_Sales,Supplier_Payments,Invoices_Issued,Invoice_Amount,Social_Media_Engagement,Credit_Score,Risk_Category,Country
1,171958,1129188,0.686344258506157,404341,321264,456,437858,18450,377.915922305315,High Risk,Brazil
2,721155,840006,0.6298768918801632,208137,472835,73,576118,475,486.47322892788424,Medium Risk,Brazil
3,181932,230244,0.8617100568442925,560458,305486,133,506283,33130,518.2812065976051,Medium Risk,Mexico
4,1464414,1083385,0.7479378675393854,542726,484208,200,544522,20846,585.0543816246078,Medium Risk,Mexico
5,309178,193273,0.540523107953824,816527,477076,144,591904,22986,575.5180384259444,Medium Risk,Brazil
6,1742743,1787266,0.6100916009749057,681514,7257,448,281365,44448,422.47234848902303,Medium Risk,Sudan
7,160268,1223104,0.841629381829798,411220,294508,287,152482,43004,408.4363289431299,High Risk,Canada
8,782180,1585540,0.5380654297451501,806184,161044,316,745415,32751,442.23149833336305,High Risk,India
9,1153462,1528189,0.9256034570243844,65426,116715,238,726773,7933,501.35564962913213,High Risk,Australia
10,187337,1117341,0.7475732635069872,249968,31654,27,11051,1993,333.61175081413955,High Risk,Indonesia
11,1049890,1394652,0.740293288663324,298963,216841,157,906961,30673,468.1787318502224,Medium Risk,Brazil
12,1620006,964604,0.7962038923297587,505384,348567,281,611206,31471,616.4186553890694,Medium Risk,India
13,1186074,873523,0.9123404829625744,888483,296464,65,88116,40974,578.0160128469684,Medium Risk,Indonesia
14,1997735,576237,0.6739046039510965,531121,25808,323,394370,11926,698.4784855337524,Low Risk,India
15,962756,1279728,0.8390080762795318,165289,57389,382,984067,34520,532.7671878666071,Medium Risk,Germany
16,225203,1378464,0.7828659819978956,271501,493906,56,238931,22024,337.02312275006256,High Risk,Mexico
17,1289911,730903,0.6335141350847107,529165,123581,348,316901,33467,678.960156457594,Medium Risk,USA
18,328167,122193,0.939314993177579,229780,132927,157,529385,21299,601.8678348493165,Medium Risk,Australia
19,91090,1114763,0.898713010803464,305138,39773,241,393152,25968,287.20629126022243,High Risk,North Korea
